 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
Q1, 204.92 , 67.47 , 284.90 , 279.83 , 3.59 , 178.23 , 242.43 , 167.48 , 409.91 , 0.00 , 0.00 , 130.08 , 41.08 , 119.33 
Q2, 226.03 , 75.62 , 321.38 , 314.64 , 5.01 , 171.50 , 243.06 , 167.51 , 410.57 , 0.00 , 0.00 , 133.87 , 40.26 , 118.66 
Q3, 237.37 , 38.82 , 339.47 , 334.58 , 3.05 , 176.73 , 244.27 , 181.21 , 425.47 , 0.00 , 0.00 , 131.18 , 41.06 , 122.91 
Q4, 234.02 , 46.36 , 319.51 , 316.58 , 1.48 , 202.67 , 268.62 , 161.11 , 429.73 , 0.00 , 0.00 , 137.95 , 45.30 , 144.83 
1998,,,,,,,,,,,,,,
Q1, 254.47 , 34.80 , 327.92 , 325.10 , 1.13 , 195.11 , 272.98 , 195.06 , 468.04 , 0.00 , 0.00 , 147.68 , 42.60 , 137.69 
Q2, 275.33 , 47.15 , 353.86 , 351.16 , 1.22 , 207.32 , 277.32 , 199.97 , 477.29 , 0.00 , 0.00 , 152.49 , 46.57 , 141.69 
Q3, 285.08 , 34.23 , 357.82 , 355.50 , 0.86 , 224.20 , 302.40 , 224.63 , 527.03 , 0.00 , 0.00 , 173.27 , 51.35 , 143.91 
Q4, 247.04 , 139.92 , 372.57 , 370.71 , 0.94 , 236.47 , 318.58 , 207.06 , 525.64 , 0.00 , 0.00 , 161.86 , 44.48 , 172.38 
1999,,,,,,,,,,,,,,
Q1, 634.91 ,(33.23), 401.35 , 395.40 , 4.30 , 286.33 , 367.57 , 241.46 , 609.03 , 0.00 , 0.00 , 217.30 , 64.16 , 170.92 
Q2, 608.43 , 142.76 , 427.41 , 425.24 , 1.44 , 252.74 , 364.94 , 269.99 , 634.94 , 0.00 , 0.00 , 217.99 , 73.18 , 169.91 
Q3, 624.00 , 91.31 , 440.98 , 437.37 , 2.85 , 235.25 , 353.94 , 301.68 , 655.62 , 0.00 , 0.00 , 204.06 , 65.29 , 165.87 
Q4, 666.27 , 176.80 , 455.21 , 452.41 , 2.10 , 287.89 , 393.08 , 306.65 , 699.73 , 0.00 , 0.00 , 206.62 , 74.86 , 208.56 
2000,,,,,,,,,,,,,,
Q1, 774.82 , 20.34 , 478.19 , 470.11 , 3.35 , 300.42 , 474.44 , 321.09 , 795.53 , 0.00 , 0.00 , 298.55 , 88.63 , 197.82 
Q2, 888.66 ,(26.41), 522.33 , 511.63 , 6.15 , 305.23 , 505.11 , 399.04 , 904.15 , 0.00 , 0.00 , 325.38 , 96.14 , 203.99 
Q3, 920.40 , 48.18 , 564.21 , 552.13 , 8.62 , 366.30 , 542.32 , 420.43 , 962.74 , 0.00 , 0.00 , 337.45 , 120.43 , 234.24 
Q4," 1,275.02 ",(123.99), 596.00 , 587.49 , 7.56 , 426.61 , 637.73 , 398.35 ," 1,036.08 ", 0.00 , 0.00 , 363.72 , 97.39 , 310.50 
2001,,,,,,,,,,,,,,
Q1," 1,263.24 ", 25.85 , 713.55 , 690.36 , 22.53 , 479.42 , 759.03 , 515.00 ," 1,274.03 ", 0.00 , 0.00 , 477.23 , 136.68 , 320.27 
Q2," 1,398.38 ",(69.91), 758.57 , 729.38 , 28.48 , 490.21 , 751.14 , 512.02 ," 1,263.16 ", 0.00 , 0.00 , 461.37 , 133.61 , 340.91 
Q3," 1,440.54 ",(27.43), 832.56 , 810.46 , 19.53 , 521.54 , 773.72 , 553.90 ," 1,327.62 ", 0.00 , 0.00 , 488.48 , 150.62 , 344.17 
Q4," 1,347.55 ",(6.01), 855.00 , 827.12 , 26.80 , 545.88 , 816.71 , 499.16 ," 1,315.87 ", 0.00 , 0.00 , 478.04 , 142.38 , 403.51 
2002,,,,,,,,,,,,,,
Q1," 1,326.16 ", 111.97 , 892.87 , 871.74 , 16.47 , 644.17 , 835.92 , 587.42 ," 1,423.35 ", 0.00 , 0.00 , 519.75 , 273.04 , 371.13 
Q2," 1,248.92 ", 126.57 , 939.38 , 925.34 , 12.24 , 596.25 , 872.09 , 629.96 ," 1,502.05 ", 0.00 , 0.00 , 582.00 , 241.87 , 354.37 
Q3," 1,191.62 ", 211.56 , 968.63 , 944.65 , 21.91 , 628.76 , 933.55 , 671.87 ," 1,605.42 ", 0.00 , 0.00 , 626.82 , 256.80 , 371.96 
Q4," 1,282.22 ", 373.64 , 955.76 , 938.27 , 17.33 , 591.56 , 946.25 , 653.24 ," 1,599.49 ", 0.00 , 0.00 , 559.31 , 128.41 , 463.15 
2003,,,,,,,,,,,,,,
Q1," 1,346.53 ", 430.66 ," 1,024.33 "," 1,010.64 ", 13.52 , 610.85 ," 1,121.55 ", 797.38 ," 1,918.93 ", 0.00 , 0.00 , 753.20 , 175.71 , 435.14 
Q2," 1,325.85 ", 605.05 ," 1,066.04 "," 1,047.58 ", 17.01 , 653.90 ," 1,319.73 ", 804.59 ," 2,124.32 ", 0.00 , 0.00 , 937.22 , 208.74 , 445.16 
Q3," 1,173.90 ", 625.66 ," 1,065.11 "," 1,045.85 ", 15.41 , 642.23 ," 1,264.03 ", 717.04 ," 1,981.07 ", 0.00 , 0.00 , 901.64 , 207.65 , 434.58 
Q4," 1,388.23 ", 591.94 ," 1,211.99 "," 1,191.55 ", 20.23 , 688.65 ," 1,225.56 ", 759.63 ," 1,985.19 ", 0.00 , 0.00 , 813.40 , 186.40 , 502.25 
2004,,,,,,,,,,,,,,
Q1," 1,570.57 ", 499.99 ," 1,321.11 "," 1,303.42 ", 17.41 , 635.00 ," 1,201.54 ", 904.70 ," 2,106.24 ", 0.00 , 0.00 , 817.20 , 168.51 , 466.49 
Q2," 1,829.69 ", 453.80 ," 1,393.78 "," 1,372.91 ", 20.56 , 654.51 ," 1,214.83 ", 898.45 ," 2,113.28 ", 0.00 , 0.00 , 841.76 , 198.20 , 456.31 
Q3," 2,010.64 ", 453.03 ," 1,489.35 "," 1,464.17 ", 23.76 , 650.50 ," 1,262.91 ", 893.92 ," 2,156.84 ", 0.00 , 0.00 , 877.25 , 192.52 , 457.98 
Q4," 2,644.67 ", 485.73 ," 1,534.45 "," 1,507.89 ", 24.63 , 732.31 ," 1,330.66 ", 932.93 ," 2,263.59 ", 0.00 , 0.00 , 872.07 , 186.51 , 545.80 
2005,,,,,,,,,,,,,,
Q1," 3,140.48 ", 593.22 ," 1,666.76 "," 1,642.87 ", 21.42 , 736.69 ," 1,469.58 "," 1,098.49 "," 2,568.07 ", 0.00 , 0.00 ," 1,040.52 ", 223.85 , 512.84 
Q2," 3,397.87 ", 341.73 ," 1,840.77 "," 1,816.68 ", 20.50 , 747.93 ," 1,454.23 "," 1,237.06 "," 2,691.30 ", 0.00 , 0.00 ," 1,038.26 ", 252.98 , 494.94 
Q3," 4,003.94 ", 603.06 ," 1,986.21 "," 1,937.52 ", 45.48 , 808.59 ," 1,557.01 "," 1,215.99 "," 2,772.99 ", 0.00 , 0.00 ," 1,112.38 ", 295.21 , 513.37 
Q4," 4,098.47 ", 306.03 ," 2,007.36 "," 1,950.38 ", 54.53 , 762.79 ," 1,725.40 "," 1,089.45 "," 2,814.85 ", 0.00 , 0.00 ," 1,162.16 ", 120.40 , 642.39 
2006,,,,,,,,,,,,,,
